TMK,PIRELLI,LIDL,GARA,METALURGIC,VALCEA,LPS,HELIOS,ACR,ROMTELECOM,FINANTE,13 DECEMBRIE,CATEDRALA,ACH
06:25,06:27,06:30,06:33,06:37,06:39,06:41,06:43,06:45,06:46,06:47,06:50,06:52,06:54
07:25,07:26,07:29,07:33,07:38,07:40,07:42,07:44,07:46,07:47,07:48,07:51,07:53,07:55
15:20,15:22,15:26,15:30,15:33,15:35,15:37,15:39,15:41,15:42,15:43,15:46,15:48,15:50
16:15,16:17,16:22,16:25,16:30,16:32,16:34,16:36,16:38,16:39,16:40,16:43,16:45,16:47
23:20,23:22,23:26,23:28,23:32,23:34,23:36,23:38,23:40,23:41,23:42,23:45,23:47,23:49
