EROILOR,DECORA,TMUCB,GARA,TUNARI,FABRA,LPS
06:05,06:10,06:11,06:13,06:15,06:17,06:20
06:35,06:40,06:41,06:43,06:45,06:47,06:50
07:07,07:12,07:13,07:15,07:17,07:19,07:20
07:35,07:40,07:41,07:43,07:45,07:47,07:50
08:05,08:10,08:11,08:13,08:15,08:17,08:20
08:35,08:40,08:41,08:43,08:47,08:49,08:50
09:05,09:10,09:11,09:13,09:15,09:17,09:20
09:35,09:40,09:41,09:43,09:45,09:47,09:50
10:05,10:10,10:11,10:13,10:15,10:17,10:20
10:35,10:40,10:41,10:43,10:45,10:47,10:50
11:05,11:10,11:11,11:13,11:15,11:17,11:20
11:35,11:40,11:41,11:43,11:45,11:47,11:50
12:25,12:30,12:31,12:33,12:35,12:37,12:40
12:55,13:00,13:01,13:03,13:05,13:07,13:10
13:25,13:30,13:31,13:33,13:35,13:37,13:40
14:05,14:10,14:11,14:13,14:15,14:17,14:20
14:35,14:40,14:41,14:43,14:45,14:47,14:50
15:05,15:10,15:11,15:13,15:15,15:17,15:20
15:45,15:50,15:51,15:53,15:55,15:57,16:00
16:15,16:20,16:21,16:23,16:25,16:27,16:30
16:45,16:50,16:51,16:53,16:55,16:57,17:00
17:15,17:20,17:21,17:23,17:25,17:27,17:30
17:45,17:50,17:51,17:53,17:55,17:57,18:00
18:15,18:20,18:21,18:23,18:25,18:27,18:30
18:50,18:55,18:56,18:58,19:00,19:02,19:05
19:30,19:35,19:36,19:38,19:40,19:42,19:45
20:00,20:05,20:06,20:08,20:10,20:12,20:15
