VALCEA,LPS,HELIOS,ACR,ROMTELECOM,FINANTE,MINULESCU,CLOCOCIOV

07:57,08:00,08:03,08:06,08:08,08:11,08:15,08:25

08:52,08:55,08:58,09:01,09:03,09:06,09:10,09:20

09:47,09:50,09:53,09:56,09:58,10:01,10:05,10:15

13:07,13:10,13:13,13:16,13:18,13:21,13:25,13:35

14:02,14:05,14:08,14:11,14:13,14:16,14:20,14:30

16:57,17:00,17:03,17:06,17:08,17:11,17:15,17:25
