SATU NOU,ALRO,ALTUR,DECORA,BAZIN,HELIOS,ACR,ROMTELECOM,UNION,13 DECEMBRIE,CATEDRALA

08:30,08:36,08:38,08:39,08:41,08:43,08:45,08:46,08:47,08:49,08:51
13:25,13:31,13:33,13:34,13:36,13:38,13:40,13:41,13:42,13:44,13:46

16:25,16:31,16:32,16:34,16:36,16:38,16:40,16:41,16:43,16:46,16:48
17:15,17:21,17:22,17:24,17:26,17:28,17:30,17:31,17:33,17:36,17:38
