STEAUA,METALURGIC,FABRA,LPS,HELIOS,PARC HOTEL,CATEDRALA,ACH
07:25,07:26,07:27,07:29,07:31,07:33,07:36,07:39
08:45,08:46,08:47,08:49,08:51,08:53,08:56,08:59
10:05,10:06,10:07,10:09,10:11,10:13,10:16,10:19
11:25,11:26,11:27,11:29,11:31,11:33,11:36,11:39
12:45,12:46,12:47,12:49,12:51,12:53,12:56,12:59
13:35,13:36,13:37,13:39,13:41,13:43,13:46,13:49
