ACH,CATEDRALA,SPITAL,ACR,ROMTELECOM,UNION,MINULESCU,ARCULUI,FINANTE,VALCEA,METALURGIC,STEAUA
07:00,07:04,07:06,07:07,07:08,07:09,07:11,07:13,07:14,07:16,07:17,07:18
08:20,08:24,08:26,08:27,08:28,08:29,08:31,08:33,08:34,08:36,08:37,08:38
09:40,09:44,09:46,09:47,09:48,09:49,09:51,09:53,09:54,09:56,09:57,09:58
11:00,11:04,11:06,11:07,11:08,11:09,11:11,11:13,11:14,11:16,11:17,11:18
12:20,12:24,12:26,12:27,12:28,12:29,12:31,12:33,12:34,12:36,12:37,12:38
13:10,13:14,13:16,13:17,13:18,13:19,13:21,13:23,13:24,13:26,13:27,13:28
