ACH,CATEDRALA,SPITAL,ACR,ROMTELECOM,UNION,MINULESCU,ARCULUI,FINANTE,VALCEA,METALURGIC,TUNARI,ARTILERIEI,CAO,PIRELLI,TMK
05:55,05:58,06:01,06:02,06:03,06:04,06:05,06:06,06:08,06:10,06:12,06:14,06:15,06:16,06:18,06:25
07:00,07:03,07:06,07:07,07:08,07:09,07:10,07:11,07:13,07:15,07:19,07:21,07:22,07:23,07:26,07:25
13:55,13:58,14:02,14:04,14:05,14:06,14:07,14:08,14:10,14:12,14:14,14:16,14:18,14:19,14:22,15:20
15:50,15:53,15:56,15:57,15:55,15:57,15:58,15:59,16:01,16:03,16:04,16:06,16:08,16:09,16:12,16:15
21:45,21:47,21:50,21:51,21:52,21:53,21:54,21:55,21:57,21:59,22:02,22:04,22:06,22:07,22:10,23:20
