CLOCOCIOV,BANULUI,CUZA VODA,LIDL,GARA,TUNARI,VALCEA

07:40,07:44,07:46,07:50,07:53,07:55,07:57

08:35,08:39,08:41,08:45,08:48,08:50,08:52

09:30,09:34,09:36,09:40,09:43,09:45,09:47

12:50,12:54,12:56,13:00,13:03,13:05,13:07

13:45,13:49,13:51,13:55,13:58,14:00,14:02

16:40,16:44,16:46,16:50,16:53,16:55,16:57
