ACH,CATEDRALA,SPITAL,ACR,ROMTELECOM,UNION,MINULESCU,ARCULUI,FINANTE,VALCEA,METALURGIC,TUNARI,ARTILERIEI,CAO,PRYSMIAN1,PRYSMIAN2
06:00,06:03,06:06,06:07,06:08,06:10,06:11,06:12,06:13,06:15,06:17,06:19,06:21,06:22,06:25,06:28
14:00,14:03,14:06,14:07,14:08,14:10,14:11,14:12,14:13,14:15,14:17,14:19,14:21,14:22,14:25,14:28
22:00,22:03,22:06,22:07,22:08,22:10,22:11,22:12,22:13,22:15,22:17,22:19,22:21,22:22,22:25,22:28
