PRYSMIAN2,PRYSMIAN1,LIDL,GARA,TUNARI,METALURGIC,FABRA,LPS,HELIOS,ACR,ROMTELECOM,FINANTE,13 DECEMBRIE,CATEDRALA,ACH
07:20,07:25,07:27,07:29,07:31,07:33,07:35,07:37,07:39,07:41,07:42,07:43,07:46,07:48,07:51
19:20,19:25,19:27,19:29,19:31,19:33,19:37,19:37,19:39,19:41,19:42,19:43,19:46,19:48,19:51
23:20,23:25,23:27,23:29,23:31,23:33,23:35,23:37,23:39,23:41,23:42,23:43,23:46,23:48,23:51
