TMK,PIRELLI,STEAUA,METALURGIC,FABRA,LPS,HELIOS,PARC HOTEL,CATEDRALA,ACH
06:30,06:33,06:36,06:37,06:39,06:41,06:43,06:45,06:48,06:51
15:20,15:23,15:26,15:27,15:29,15:31,15:33,15:35,15:38,15:41
